Date,history1,history2,history3,history4
2016-03-13,11994.5218,11265.35344,12390.87095,12380.30151
2016-03-14,12077.53247,11291.27353,12503.7173,12493.04698
2016-03-15,12004.30729,11345.36269,12387.49126,12376.72651
2016-03-16,11904.42479,11477.36009,12387.38636,12376.48018
2016-03-17,11845.75579,11600.19089,12377.6461,12366.27935
2016-03-18,11838.07132,11559.41095,12370.61707,12359.336
2016-03-19,11825.40216,11540.04317,12368.81502,12357.57242
2016-03-20,11708.06375,11442.32742,12425.86106,12414.6219
2016-03-21,11656.13918,11468.19804,12425.21392,12414.49091
2016-03-22,11637.31993,11583.58709,12415.15957,12404.17553
2016-03-23,11556.52241,11668.82595,12366.44497,12355.32008
2016-03-24,11688.96498,11774.60636,12451.93087,12440.67059
2016-03-25,11729.99721,11802.02526,12376.40422,12364.97506
2016-03-26,11634.77156,11837.9814,12273.77302,12262.21943
2016-03-27,11410.19093,11887.10708,12213.18402,12201.76754
